,building_type_id,building_sqft,general_type,lot_size,residential_units,net_residential_units
874203,24,1184.2,Residential,11842,2.0,1.0
874204,24,1201.7,Residential,12017,2.0,1.0
874207,3,1162.9,Residential,11629,2.0,1.0
874211,20,894.4000000000001,Residential,8944,1.0,0.0
874212,24,908.8000000000001,Residential,9088,1.0,0.0
874214,20,890.2,Residential,8902,1.0,0.0
874216,2,1027.4,Residential,10274,2.0,1.0
874219,2,1063.9,Residential,10639,2.0,1.0
874222,2,2728.4,Residential,27284,3.0,2.0
874226,20,1393.1000000000001,Residential,13931,2.0,1.0
874228,2,1363.0,Residential,13630,2.0,1.0
874231,20,1362.0,Residential,13620,2.0,1.0
874233,24,1339.6000000000001,Residential,13396,2.0,1.0
874239,20,1339.8000000000002,Residential,13398,2.0,1.0
874241,20,1036.0,Residential,10360,2.0,1.0
874244,24,1134.7,Residential,11347,2.0,1.0
874246,3,1028.4,Residential,10284,2.0,1.0
874256,24,1000.5,Residential,10005,2.0,1.0
874259,2,1243.5,Residential,12435,2.0,1.0
874260,20,1203.5,Residential,12035,2.0,1.0
874262,20,1329.6000000000001,Residential,13296,2.0,1.0
874265,24,1095.0,Residential,10950,2.0,1.0
874266,24,1199.0,Residential,11990,2.0,1.0
874272,20,1154.7,Residential,11547,2.0,1.0
874274,24,1118.3,Residential,11183,2.0,1.0
874275,20,968.4000000000001,Residential,9684,1.0,0.0
874276,20,991.2,Residential,9912,1.0,0.0
874280,20,993.7,Residential,9937,1.0,0.0
874283,2,1007.8000000000001,Residential,10078,2.0,1.0
874286,20,1122.3,Residential,11223,2.0,1.0
874287,24,1318.6000000000001,Residential,13186,2.0,1.0
875012,20,3218.04,Residential,17878,4.0,3.0
875020,24,2101.14,Residential,11673,3.0,2.0
889153,24,2207.6,Residential,22076,3.0,3.0
889171,20,10716.800000000001,Residential,107168,11.0,11.0
889284,24,1074.9,Residential,10749,2.0,1.0
889307,24,820.4000000000001,Residential,8204,1.0,0.0
889362,3,14620.2,Residential,146202,15.0,15.0
889451,2,793.0,Residential,7930,1.0,0.0
889485,24,1113.0,Residential,11130,2.0,1.0
889492,24,1587.9,Residential,15879,2.0,1.0
889536,24,846.6,Residential,8466,1.0,0.0
889739,20,605.0,Residential,6050,1.0,0.0
889846,24,1109.1000000000001,Residential,11091,2.0,1.0
889999,24,756.8000000000001,Residential,7568,1.0,0.0
890030,24,995.4000000000001,Residential,9954,1.0,0.0
890048,24,250.0,Residential,1594,1.0,1.0
890071,3,3042.9,Residential,30429,4.0,-8.0
890092,24,16413.8,Residential,164138,17.0,17.0
890111,20,2244.2000000000003,Residential,22442,3.0,3.0
892534,2,5378.63,Residential,31639,6.0,6.0
892537,2,8524.08,Residential,71034,9.0,9.0
892558,2,2956.7200000000003,Residential,11372,3.0,3.0
892585,18,3552.9,Retail,13665,0.0,0.0
892587,17,3816.02,Retail,14677,0.0,0.0
892590,20,4473.96,Residential,19452,5.0,5.0
892622,3,7842.64,Residential,30164,8.0,8.0
892626,3,73123.7,Residential,281245,74.0,74.0
892627,20,44515.12,Residential,171212,45.0,45.0
893921,20,917.6,Residential,9176,1.0,1.0
893922,20,1496.8000000000002,Residential,14968,2.0,1.0
893923,2,1461.7,Residential,14617,2.0,1.0
893924,3,1980.1000000000001,Residential,19801,2.0,1.0
893925,2,2305.9,Residential,23059,3.0,2.0
893926,24,1532.6000000000001,Residential,15326,2.0,1.0
893927,20,1866.1000000000001,Residential,18661,2.0,1.0
893928,24,1850.7,Residential,18507,2.0,1.0
893929,24,5762.1,Residential,57621,6.0,6.0
893930,20,1543.9,Residential,15439,2.0,1.0
893931,20,1636.5,Residential,16365,2.0,1.0
893932,24,1910.1000000000001,Residential,19101,2.0,1.0
893933,20,1669.6000000000001,Residential,16696,2.0,1.0
893934,24,1389.8000000000002,Residential,13898,2.0,1.0
893935,24,1397.8000000000002,Residential,13978,2.0,1.0
894468,24,7083.0,Residential,70830,8.0,8.0
894485,24,62688.45,Residential,417923,63.0,63.0
894718,20,5435.4,Residential,36236,6.0,6.0
895674,3,1525.2,Residential,10168,2.0,2.0
895711,3,5494.05,Residential,36627,6.0,6.0
895713,20,4198.46,Residential,29989,5.0,-21.0
895714,24,3629.85,Residential,24199,4.0,-22.0
895728,24,3188.1,Residential,21254,4.0,-36.0
896276,24,14204.699999999999,Residential,94698,15.0,15.0
896296,20,1111.8,Residential,7412,2.0,1.0
896298,20,1524.0,Residential,10160,2.0,1.0
896299,20,1439.55,Residential,9597,2.0,1.0
896322,20,1179.45,Residential,7863,2.0,1.0
896345,2,1525.5,Residential,10170,2.0,1.0
896346,20,1349.1,Residential,8994,2.0,1.0
896364,2,1205.55,Residential,8037,2.0,1.0
896372,24,807.75,Residential,5385,1.0,0.0
896390,2,759.9,Residential,5066,1.0,0.0
896399,24,1963.05,Residential,13087,2.0,1.0
896404,3,1828.8,Residential,12192,2.0,1.0
896410,2,2076.0,Residential,13840,3.0,2.0
896413,20,1916.6999999999998,Residential,12778,2.0,1.0
896417,20,1884.8999999999999,Residential,12566,2.0,1.0
896418,2,1747.8,Residential,11652,2.0,1.0
896427,20,2159.5499999999997,Residential,14397,3.0,2.0
896453,24,2981.5499999999997,Residential,19877,3.0,2.0
896470,24,1961.55,Residential,13077,2.0,1.0
896487,24,1373.1,Residential,9154,2.0,1.0
896512,20,2951.46,Residential,98382,3.0,3.0
896532,20,1583.55,Residential,10557,2.0,1.0
896550,24,1009.45,Residential,7765,2.0,1.0
896561,20,1454.1,Residential,9694,2.0,1.0
896575,20,1568.7,Residential,10458,2.0,1.0
896581,2,1380.75,Residential,9205,2.0,1.0
896584,20,1033.6499999999999,Residential,6891,2.0,1.0
896587,20,2841.6,Residential,18944,3.0,2.0
896654,20,7876.0,Residential,39380,8.0,8.0
896655,2,29193.0,Residential,194620,30.0,30.0
896782,24,2070.36,Residential,7668,3.0,2.0
896834,5,9509.130000000001,Office,35219,0.0,-2.0
896835,24,15922.37,Residential,93661,16.0,-17.0
896836,5,8692.84,Office,33434,0.0,0.0
896860,3,1853.2800000000002,Residential,6864,2.0,1.0
896861,2,2008.8000000000002,Residential,7440,3.0,2.0
896864,3,888.57,Residential,3291,1.0,0.0
896900,3,1231.2,Residential,4560,2.0,1.0
896901,3,1158.3000000000002,Residential,4290,2.0,1.0
896922,3,1834.92,Residential,6796,2.0,1.0
896947,20,1659.6,Residential,6915,2.0,1.0
896949,3,1972.94,Residential,8578,2.0,1.0
897680,24,1814.94,Residential,6722,2.0,1.0
897686,24,4478.6,Residential,9140,5.0,4.0
897689,2,1874.25,Residential,12495,2.0,2.0
897690,2,20355.75,Residential,45235,21.0,21.0
897694,2,1924.72,Residential,3928,2.0,1.0
897697,2,1705.69,Residential,3481,2.0,1.0
897700,24,3424.12,Residential,6988,4.0,2.0
897749,24,1504.44,Residential,7164,2.0,1.0
897750,3,1488.8999999999999,Residential,7090,2.0,1.0
897758,24,2918.44,Residential,5956,3.0,3.0
897802,3,11885.130000000001,Residential,44019,12.0,12.0
898207,2,21797.9,Residential,217979,22.0,22.0
898212,20,790.2,Residential,7902,1.0,0.0
898222,2,767.5,Residential,7675,1.0,0.0
898260,2,1314.2,Residential,13142,2.0,1.0
898287,24,36995.64,Residential,168162,37.0,37.0
898290,18,2769.48,Retail,5652,0.0,0.0
898293,3,28697.34,Residential,58566,29.0,-17.0
898317,20,20687.48,Residential,94034,21.0,20.0
898357,20,760.5,Residential,7605,1.0,0.0
898360,2,2155.4100000000003,Residential,7983,3.0,-1.0
898365,3,1974.5100000000002,Residential,7313,2.0,-2.0
898380,17,22848.5,Retail,45697,0.0,0.0
898454,2,3825.58,Residential,17389,4.0,0.0
898458,2,1049.9,Residential,10499,2.0,1.0
901845,20,1738.8,Residential,11592,2.0,1.0
901857,24,11139.800000000001,Residential,79570,12.0,11.0
901875,2,1986.6,Residential,13244,2.0,1.0
903104,3,2387.28,Residential,17052,3.0,2.0
903110,20,1958.6000000000001,Residential,13990,2.0,1.0
903224,3,1685.3999999999999,Residential,11236,2.0,1.0
903255,24,15154.300000000001,Residential,108245,16.0,15.0
903270,3,1335.3200000000002,Residential,9538,2.0,1.0
903275,20,1207.64,Residential,8626,2.0,1.0
904059,20,4076.6600000000003,Residential,29119,5.0,4.0
904100,20,3643.6400000000003,Residential,26026,4.0,3.0
904110,20,1171.66,Residential,8369,2.0,1.0
904161,20,1166.0600000000002,Residential,8329,2.0,1.0
904262,20,1114.8200000000002,Residential,7963,2.0,1.0
905090,2,47524.12,Residential,339458,48.0,48.0
905098,20,1265.0400000000002,Residential,9036,2.0,1.0
905106,3,1296.96,Residential,9264,2.0,1.0
905117,3,1403.64,Residential,10026,2.0,1.0
905203,20,1074.64,Residential,7676,2.0,1.0
905219,2,1019.4800000000001,Residential,7282,2.0,1.0
905222,20,992.7400000000001,Residential,7091,1.0,0.0
905223,24,1018.2200000000001,Residential,7273,2.0,1.0
905249,3,1074.7800000000002,Residential,7677,2.0,1.0
905250,3,1093.8200000000002,Residential,7813,2.0,1.0
905259,2,1055.0400000000002,Residential,7536,2.0,1.0
905305,20,1068.2,Residential,7630,2.0,1.0
905403,20,1150.66,Residential,8219,2.0,1.0
906583,2,21817.04,Residential,155836,22.0,21.0
906588,24,54206.4,Residential,225860,55.0,55.0
906679,3,1133.8600000000001,Residential,8099,2.0,1.0
906688,24,1050.2800000000002,Residential,7502,2.0,1.0
906732,24,1076.3200000000002,Residential,7688,2.0,1.0
906827,24,1668.5200000000002,Residential,11918,2.0,1.0
906864,20,46471.2,Residential,193630,47.0,16.0
906883,20,3448.7999999999997,Residential,14370,4.0,3.0
906963,3,54124.840000000004,Residential,386606,55.0,55.0
907052,2,1008.4000000000001,Residential,10084,2.0,1.0
907080,2,618.2,Residential,6182,1.0,0.0
907081,24,677.2,Residential,6772,1.0,0.0
907095,20,928.8000000000001,Residential,9288,1.0,0.0
907138,24,772.9000000000001,Residential,7729,1.0,0.0
907154,2,1034.6000000000001,Residential,10346,2.0,1.0
907160,3,699.0,Residential,6990,1.0,0.0
907163,2,731.1,Residential,7311,1.0,0.0
907174,24,756.8000000000001,Residential,7568,1.0,0.0
907216,24,932.7,Residential,9327,1.0,0.0
907240,2,877.1,Residential,8771,1.0,0.0
907242,3,818.7,Residential,8187,1.0,0.0
907252,3,949.6,Residential,9496,1.0,0.0
907263,24,752.4000000000001,Residential,7524,1.0,0.0
907286,24,755.5,Residential,7555,1.0,0.0
907304,20,1180.9,Residential,11809,2.0,1.0
907487,3,970.3000000000001,Residential,9703,1.0,0.0
907520,24,917.3000000000001,Residential,9173,1.0,0.0
907522,2,1638.4,Residential,16384,2.0,1.0
907544,24,702.9000000000001,Residential,7029,1.0,0.0
907547,2,906.3000000000001,Residential,9063,1.0,0.0
907563,24,924.0,Residential,9240,1.0,0.0
907564,2,923.4000000000001,Residential,9234,1.0,0.0
907593,24,821.3000000000001,Residential,8213,1.0,0.0
907620,2,567.9,Residential,5679,1.0,0.0
907647,2,718.7,Residential,7187,1.0,0.0
907678,2,887.6,Residential,8876,1.0,0.0
907686,2,652.8000000000001,Residential,6528,1.0,0.0
907856,2,713.1,Residential,7131,1.0,0.0
907866,2,740.0,Residential,7400,1.0,0.0
907892,2,1025.7,Residential,10257,2.0,1.0
907898,2,843.2,Residential,8432,1.0,0.0
907901,20,764.8000000000001,Residential,7648,1.0,0.0
907946,2,672.2,Residential,6722,1.0,0.0
907953,2,765.9000000000001,Residential,7659,1.0,0.0
908263,2,755.4000000000001,Residential,7554,1.0,0.0
908271,3,558.3000000000001,Residential,5583,1.0,0.0
908323,2,591.6,Residential,5916,1.0,0.0
908325,3,659.9000000000001,Residential,6599,1.0,0.0
908327,24,736.7,Residential,7367,1.0,0.0
908337,3,627.3000000000001,Residential,6273,1.0,0.0
908360,2,695.5,Residential,6955,1.0,0.0
908797,17,16941.54,Retail,77007,0.0,0.0
913507,20,6275.070000000001,Residential,23241,7.0,6.0
913511,2,7943.400000000001,Residential,29420,8.0,7.0
913527,3,652.0500000000001,Residential,2415,1.0,1.0
913851,3,2543.13,Residential,9419,3.0,-1.0
913861,3,4260.87,Residential,15781,5.0,-4.0
913981,20,2432.6400000000003,Residential,17376,3.0,2.0
914087,3,12276.04,Residential,87686,13.0,13.0
914088,3,5040.56,Residential,36004,6.0,5.0
914205,20,1359.4,Residential,9710,2.0,1.0
914230,2,32033.61,Residential,118643,33.0,-18.0
914231,3,16394.670000000002,Residential,60721,17.0,6.0
914770,24,3246.21,Residential,12023,4.0,3.0
914813,20,6325.02,Residential,23426,7.0,-1.0
914827,20,1730.7,Residential,6410,2.0,1.0
914962,3,6996.500000000001,Residential,49975,7.0,7.0
914977,20,13157.2,Residential,93980,14.0,13.0
915126,24,1142.8200000000002,Residential,8163,2.0,1.0
915207,3,1390.3400000000001,Residential,9931,2.0,1.0
915253,24,1246.2800000000002,Residential,8902,2.0,1.0
915286,2,1207.3600000000001,Residential,8624,2.0,1.0
915334,24,1208.9,Residential,8635,2.0,1.0
915362,24,8162.9800000000005,Residential,58307,9.0,8.0
916183,3,637.8,Residential,4252,1.0,1.0
916308,3,250.0,Residential,449,1.0,1.0
916366,3,250.0,Residential,122043,1.0,1.0
916370,3,250.0,Residential,129627,1.0,1.0
916379,3,7531.3,Residential,75313,8.0,7.0
916463,20,1447.0,Residential,14470,2.0,1.0
916464,24,1464.1000000000001,Residential,14641,2.0,1.0
916469,3,15256.6,Residential,152566,16.0,16.0
916471,24,10499.800000000001,Residential,104998,11.0,11.0
916477,2,2541.0,Residential,25410,3.0,1.0
916495,17,14184.75,Retail,56739,0.0,-1.0
916784,3,1261.8,Residential,8412,2.0,2.0
916789,3,971.6999999999999,Residential,6478,1.0,1.0
916813,3,250.0,Residential,554,1.0,1.0
916814,3,250.0,Residential,585,1.0,1.0
916815,3,5598.599999999999,Residential,37324,6.0,6.0
917154,24,15220.7,Residential,152207,16.0,15.0
917173,2,9430.800000000001,Residential,94308,10.0,-2.0
917177,24,8037.700000000001,Residential,80377,9.0,9.0
917222,20,2685.2000000000003,Residential,26852,3.0,2.0
917223,20,2797.6000000000004,Residential,27976,3.0,2.0
917234,24,2749.9,Residential,27499,3.0,3.0
917251,24,1145.0,Residential,11450,2.0,1.0
918066,2,698.0,Residential,6980,1.0,0.0
918142,24,690.4000000000001,Residential,6904,1.0,0.0
918185,3,18846.600000000002,Residential,188466,19.0,-73.0
918214,2,699.0,Residential,6990,1.0,0.0
918262,24,721.8000000000001,Residential,7218,1.0,0.0
918299,2,43265.600000000006,Residential,432656,44.0,-141.0
918304,24,1241.0,Residential,12410,2.0,2.0
918333,24,4292.8,Residential,42928,5.0,-19.0
918340,20,12747.400000000001,Residential,127474,13.0,-2.0
918343,3,3310.0,Residential,33100,4.0,-14.0
918344,3,8170.400000000001,Residential,81704,9.0,8.0
918346,3,1009.0,Residential,10090,2.0,1.0
918351,2,1698.8000000000002,Residential,16988,2.0,1.0
918353,3,2646.4,Residential,26464,3.0,2.0
918366,20,1753.1000000000001,Residential,17531,2.0,2.0
918368,3,862.4000000000001,Residential,8624,1.0,-3.0
918369,3,685.5,Residential,6855,1.0,-3.0
918370,24,5128.900000000001,Residential,51289,6.0,6.0
918374,2,946.1,Residential,9461,1.0,0.0
918378,20,4581.7,Residential,45817,5.0,4.0
918443,3,1933.0,Residential,19330,2.0,2.0
918448,3,250.0,Residential,194673,1.0,1.0
918452,2,2840.2000000000003,Residential,28402,3.0,-3.0
918454,2,2023.3000000000002,Residential,20233,3.0,-7.0
918455,3,2630.5,Residential,26305,3.0,-2.0
918457,2,1449.7,Residential,14497,2.0,-2.0
918458,20,2873.0,Residential,28730,3.0,-2.0
919120,2,2961.9100000000003,Residential,42313,3.0,3.0
919130,24,9255.75,Residential,132225,10.0,10.0
919168,3,27753.600000000002,Residential,277536,28.0,28.0
919172,20,6895.0,Residential,68950,7.0,7.0
919191,20,1141.7,Residential,11417,2.0,1.0
919201,20,2178.7000000000003,Residential,21787,3.0,2.0
919325,3,1444.0,Residential,14440,2.0,1.0
919359,20,1851.7,Residential,18517,2.0,1.0
919361,3,1467.4,Residential,14674,2.0,1.0
919365,3,1572.0,Residential,15720,2.0,1.0
919374,24,1825.9,Residential,18259,2.0,1.0
919430,20,875.8000000000001,Residential,8758,1.0,0.0
919456,20,636.3000000000001,Residential,6363,1.0,0.0
919487,3,27465.9,Residential,274659,28.0,28.0
919729,20,793.5,Residential,7935,1.0,0.0
919730,20,20357.9,Residential,203579,21.0,21.0
919732,2,13210.900000000001,Residential,132109,14.0,14.0
920688,2,4170.8,Residential,41708,5.0,5.0
920942,3,26209.100000000002,Residential,262091,27.0,27.0
920946,3,2010.0500000000002,Residential,28715,3.0,2.0
921172,24,8809.080000000002,Residential,125844,9.0,7.0
921266,20,1840.8000000000002,Residential,18408,2.0,-2.0
922289,2,3620.7000000000003,Residential,36207,4.0,-12.0
922293,3,3427.0,Residential,34270,4.0,-12.0
922295,2,1815.17,Residential,25931,2.0,1.0
922462,20,1882.6000000000001,Residential,18826,2.0,1.0
922467,20,1036.5,Residential,10365,2.0,1.0
922471,20,1010.1,Residential,10101,2.0,1.0
922474,24,1211.6000000000001,Residential,12116,2.0,1.0
922476,20,740.2,Residential,7402,1.0,0.0
922481,24,2983.7000000000003,Residential,29837,3.0,-12.0
922487,2,842.6,Residential,8426,1.0,0.0
922489,24,845.3000000000001,Residential,8453,1.0,0.0
922491,24,789.7,Residential,7897,1.0,0.0
922492,3,814.5,Residential,8145,1.0,0.0
922497,2,1209.7,Residential,12097,2.0,1.0
922503,3,1184.2,Residential,11842,2.0,1.0
922504,3,1127.3,Residential,11273,2.0,1.0
922505,24,1177.4,Residential,11774,2.0,1.0
922509,20,1131.6000000000001,Residential,11316,2.0,1.0
922524,2,1304.7,Residential,13047,2.0,1.0
922552,3,250.0,Residential,11245,1.0,0.0
922558,3,250.0,Residential,43958,1.0,1.0
922567,3,1117.3,Residential,11173,2.0,1.0
922570,3,820.0,Residential,8200,1.0,0.0
922575,20,944.4,Residential,11805,1.0,0.0
922576,24,1184.2,Residential,11842,2.0,1.0
922580,3,863.5,Residential,8635,1.0,0.0
922581,24,806.5,Residential,8065,1.0,0.0
922587,24,926.2,Residential,9262,1.0,0.0
922590,2,1099.8,Residential,10998,2.0,1.0
922600,20,1051.6000000000001,Residential,10516,2.0,1.0
922664,3,1033.29,Residential,11481,2.0,1.0
922668,3,2191.2000000000003,Residential,21912,3.0,2.0
922671,20,868.16,Residential,10852,1.0,0.0
922678,24,949.6,Residential,9496,1.0,0.0
922679,3,955.2,Residential,9552,1.0,0.0
922681,3,1280.6000000000001,Residential,12806,2.0,1.0
922684,20,866.3000000000001,Residential,8663,1.0,0.0
922768,3,2316.3,Residential,23163,3.0,2.0
922769,3,6450.200000000001,Residential,64502,7.0,7.0
922784,24,1871.7,Residential,18717,2.0,1.0
922797,2,1068.0,Residential,10680,2.0,1.0
922805,2,1530.1000000000001,Residential,15301,2.0,1.0
922836,2,3114.8,Residential,31148,4.0,3.0
922841,20,2192.8,Residential,21928,3.0,2.0
922847,20,4207.7,Residential,42077,5.0,4.0
922848,2,4234.8,Residential,42348,5.0,4.0
922854,20,2781.5,Residential,27815,3.0,2.0
923036,24,1018.1,Residential,10181,2.0,1.0
923045,20,597.7,Residential,5977,1.0,0.0
923069,24,1064.5,Residential,10645,2.0,1.0
923086,24,1039.0,Residential,10390,2.0,1.0
923104,24,1184.7,Residential,11847,2.0,1.0
923107,24,1124.6000000000001,Residential,11246,2.0,1.0
923113,20,1001.8000000000001,Residential,10018,2.0,1.0
923118,20,1050.9,Residential,10509,2.0,1.0
923139,24,1219.1000000000001,Residential,12191,2.0,1.0
923144,2,1185.5,Residential,11855,2.0,1.0
923145,24,1058.4,Residential,10584,2.0,1.0
923152,2,988.8000000000001,Residential,9888,1.0,0.0
923168,3,1209.7,Residential,12097,2.0,1.0
923189,20,1093.5,Residential,10935,2.0,1.0
923223,2,1032.6000000000001,Residential,10326,2.0,1.0
923232,2,1406.3000000000002,Residential,14063,2.0,1.0
923238,20,1068.3,Residential,10683,2.0,1.0
923278,20,1109.8,Residential,11098,2.0,1.0
923308,2,948.9000000000001,Residential,9489,1.0,0.0
923355,3,10478.7,Residential,104787,11.0,11.0
923363,2,7558.900000000001,Residential,75589,8.0,8.0
923377,24,982.4000000000001,Residential,9824,1.0,0.0
923385,20,1023.6,Residential,10236,2.0,1.0
923401,24,991.4000000000001,Residential,9914,1.0,0.0
923417,2,1165.7,Residential,11657,2.0,1.0
923456,24,1054.6000000000001,Residential,10546,2.0,1.0
923474,20,956.1,Residential,9561,1.0,0.0
923481,2,946.4000000000001,Residential,9464,1.0,0.0
923484,2,958.3000000000001,Residential,9583,1.0,0.0
923790,3,31868.2,Residential,318682,32.0,32.0
923904,20,1071.1000000000001,Residential,10711,2.0,1.0
923914,20,1067.6000000000001,Residential,10676,2.0,1.0
923933,20,1037.5,Residential,10375,2.0,1.0
923934,2,1065.8,Residential,10658,2.0,1.0
923950,2,913.9000000000001,Residential,9139,1.0,0.0
924021,2,1168.9,Residential,11689,2.0,1.0
924109,24,1102.4,Residential,11024,2.0,1.0
924117,20,930.9000000000001,Residential,9309,1.0,0.0
924134,20,880.3000000000001,Residential,8803,1.0,0.0
924142,24,22253.800000000003,Residential,222538,23.0,23.0
925363,3,1359.8000000000002,Residential,13598,2.0,1.0
925386,2,5423.3,Residential,54233,6.0,-1.0
925405,20,645.8000000000001,Residential,6458,1.0,0.0
925421,20,602.2,Residential,6022,1.0,0.0
925429,20,625.2,Residential,6252,1.0,0.0
925442,20,602.2,Residential,6022,1.0,0.0
925448,2,616.7,Residential,6167,1.0,0.0
925476,20,621.5,Residential,6215,1.0,0.0
925478,20,611.6,Residential,6116,1.0,0.0
925497,20,614.7,Residential,6147,1.0,0.0
925510,2,671.2,Residential,6712,1.0,0.0
925524,24,827.2,Residential,8272,1.0,0.0
925544,2,637.6,Residential,6376,1.0,0.0
925551,20,668.8000000000001,Residential,6688,1.0,0.0
925567,20,659.1,Residential,6591,1.0,0.0
925569,20,648.5,Residential,6485,1.0,0.0
925602,20,612.1,Residential,6121,1.0,0.0
925608,20,1261.6000000000001,Residential,12616,2.0,-4.0
925623,3,624.4000000000001,Residential,6244,1.0,0.0
925627,24,626.6,Residential,6266,1.0,0.0
925640,20,642.3000000000001,Residential,6423,1.0,0.0
925646,2,601.2,Residential,6012,1.0,0.0
925674,20,519.3000000000001,Residential,5193,1.0,0.0
925685,20,754.9000000000001,Residential,7549,1.0,0.0
925698,2,1773.5,Residential,17735,2.0,1.0
925704,3,1736.2,Residential,17362,2.0,1.0
925721,20,1136.1000000000001,Residential,11361,2.0,1.0
925723,2,1012.1,Residential,10121,2.0,1.0
925761,20,940.6,Residential,9406,1.0,0.0
925768,2,2116.8,Residential,21168,3.0,3.0
925784,2,944.6,Residential,9446,1.0,0.0
925800,24,1423.1000000000001,Residential,14231,2.0,1.0
925810,2,4510.1,Residential,45101,5.0,4.0
925811,20,1508.7,Residential,15087,2.0,1.0
925812,20,1508.2,Residential,15082,2.0,1.0
925817,20,1275.2,Residential,12752,2.0,1.0
925827,2,1056.2,Residential,10562,2.0,1.0
925834,20,634.5,Residential,6345,1.0,0.0
925840,2,606.4,Residential,6064,1.0,0.0
925847,2,762.3000000000001,Residential,7623,1.0,0.0
925852,24,2029.8000000000002,Residential,20298,3.0,-19.0
925858,3,11573.1,Residential,115731,12.0,11.0
933551,3,3113.25,Residential,12453,4.0,3.0
933576,24,4600.75,Residential,18403,5.0,4.0
933594,24,3329.75,Residential,13319,4.0,3.0
933596,3,24234.3,Residential,161562,25.0,24.0
933726,24,3765.9900000000002,Residential,19821,4.0,3.0
933749,2,20494.4,Residential,102472,21.0,20.0
933812,3,5437.5,Residential,21750,6.0,5.0
933832,24,3933.75,Residential,15735,4.0,3.0
933876,20,3603.75,Residential,14415,4.0,3.0
934008,24,3685.5,Residential,14742,4.0,3.0
934018,24,2694.0,Residential,10776,3.0,2.0
934086,2,101062.08,Residential,140364,102.0,42.0
934109,24,2409.5,Residential,9638,3.0,2.0
934208,3,2613.0,Residential,10452,3.0,2.0
934307,3,2269.75,Residential,9079,3.0,2.0
934383,20,3388.7999999999997,Residential,14120,4.0,3.0
934619,24,11635.25,Residential,46541,12.0,11.0
934623,3,4040.75,Residential,16163,5.0,4.0
934653,2,2835.0,Residential,11340,3.0,2.0
934662,24,3006.0,Residential,12024,4.0,3.0
934671,3,72792.0,Residential,145584,73.0,60.0
934691,2,2343.75,Residential,9375,3.0,2.0
934776,3,2717.75,Residential,10871,3.0,2.0
934782,20,5833.5,Residential,23334,6.0,5.0
934807,3,2339.5,Residential,9358,3.0,2.0
934810,2,2325.0,Residential,9300,3.0,2.0
934815,20,3814.5,Residential,15258,4.0,3.0
934818,20,3424.75,Residential,13699,4.0,3.0
934828,2,2896.75,Residential,11587,3.0,2.0
934837,3,2354.5,Residential,9418,3.0,2.0
934850,2,2628.25,Residential,10513,3.0,2.0
934875,2,2868.5,Residential,11474,3.0,2.0
934890,3,2499.75,Residential,9999,3.0,2.0
934938,2,2573.5,Residential,10294,3.0,2.0
934948,3,2637.5,Residential,10550,3.0,2.0
934981,24,3778.75,Residential,15115,4.0,3.0
935087,3,4526.0,Residential,18104,5.0,4.0
935138,20,4693.0,Residential,18772,5.0,4.0
935305,24,3658.5,Residential,14634,4.0,3.0
935342,2,7143.75,Residential,28575,8.0,7.0
935377,3,10389.25,Residential,41557,11.0,10.0
935445,2,4622.25,Residential,18489,5.0,4.0
935456,24,4223.25,Residential,16893,5.0,4.0
935511,20,10761.5,Residential,43046,11.0,10.0
935536,3,2342.75,Residential,9371,3.0,2.0
935539,2,3332.75,Residential,13331,4.0,3.0
935555,2,2345.25,Residential,9381,3.0,2.0
935654,3,10411.25,Residential,41645,11.0,10.0
935701,24,1636.75,Residential,6547,2.0,2.0
935711,24,4577.0,Residential,18308,5.0,4.0
935716,20,3873.75,Residential,15495,4.0,3.0
935727,2,13659.0,Residential,54636,14.0,13.0
935750,2,3362.0,Residential,13448,4.0,3.0
935765,24,3099.5,Residential,12398,4.0,3.0
935785,24,2575.0,Residential,10300,3.0,2.0
935791,24,3998.25,Residential,15993,4.0,3.0
936879,24,5000.25,Residential,20001,6.0,5.0
936881,3,6943.5,Residential,27774,7.0,6.0
936912,2,2167.75,Residential,8671,3.0,2.0
936921,20,13166.25,Residential,52665,14.0,13.0
936923,24,6535.25,Residential,26141,7.0,6.0
936924,2,8458.5,Residential,33834,9.0,8.0
936956,2,2419.5,Residential,9678,3.0,2.0
936962,3,4556.75,Residential,18227,5.0,4.0
936964,20,12751.0,Residential,51004,13.0,12.0
936970,3,3758.5,Residential,15034,4.0,3.0
936998,2,1705.25,Residential,6821,2.0,1.0
937017,24,2101.0,Residential,8404,3.0,2.0
937060,2,1876.75,Residential,7507,2.0,1.0
937109,2,4023.25,Residential,16093,5.0,4.0
937123,24,20361.6,Residential,28280,21.0,9.0
937128,2,7633.25,Residential,30533,8.0,7.0
937129,2,3473.25,Residential,13893,4.0,3.0
937139,3,9609.84,Residential,13347,10.0,2.0
937155,2,137733.84,Residential,191297,138.0,27.0
937182,24,3363.25,Residential,13453,4.0,3.0
937204,20,32397.84,Residential,44997,33.0,9.0
937217,3,2255.0,Residential,9020,3.0,2.0
937379,3,659.8000000000001,Residential,6598,1.0,0.0
937400,24,1329.1000000000001,Residential,13291,2.0,1.0
937413,2,672.9000000000001,Residential,6729,1.0,0.0
937420,2,1337.7,Residential,13377,2.0,2.0
937436,20,1007.1,Residential,10071,2.0,1.0
937460,20,685.8000000000001,Residential,6858,1.0,0.0
937466,20,665.1,Residential,6651,1.0,0.0
