,building_type_id,building_sqft,general_type,lot_size,residential_units,net_residential_units
398226,3,512.9,Residential,5129,1.0,-1.0
398242,3,1929.5,Residential,19295,2.0,2.0
398247,3,702.0,Residential,7020,1.0,-3.0
398249,3,10247.0,Residential,102470,11.0,11.0
398254,2,687.2,Residential,6872,1.0,-1.0
398257,2,406.0,Residential,4060,1.0,0.0
398264,3,966.7,Residential,9667,1.0,-2.0
398266,3,674.6,Residential,6746,1.0,0.0
398272,3,1052.9,Residential,10529,2.0,0.0
398274,2,715.1,Residential,7151,1.0,-1.0
398277,2,725.3000000000001,Residential,7253,1.0,-1.0
398279,3,716.3000000000001,Residential,7163,1.0,-1.0
398282,20,726.8000000000001,Residential,7268,1.0,1.0
398290,2,718.9000000000001,Residential,7189,1.0,-4.0
398295,3,683.5,Residential,6835,1.0,-3.0
398304,3,1913.8000000000002,Residential,19138,2.0,2.0
398312,24,250.0,Residential,1356,1.0,1.0
398313,20,1211.2,Residential,12112,2.0,1.0
398316,20,2240.3,Residential,22403,3.0,-15.0
398318,20,511.40000000000003,Residential,5114,1.0,0.0
398319,20,1510.4,Residential,18880,2.0,-10.0
398320,24,4400.8,Residential,44008,5.0,-24.0
398326,3,874.2,Residential,8742,1.0,-3.0
398330,2,375.20000000000005,Residential,3752,1.0,-1.0
398332,20,342.20000000000005,Residential,3422,1.0,0.0
398345,2,919.3000000000001,Residential,9193,1.0,-1.0
398348,2,1924.0,Residential,19240,2.0,2.0
398354,2,698.6,Residential,6986,1.0,-3.0
398359,3,250.0,Residential,4014,1.0,0.0
398439,3,736.6,Residential,7366,1.0,0.0
398447,3,686.6,Residential,6866,1.0,-1.0
398451,2,684.8000000000001,Residential,6848,1.0,-1.0
398456,3,695.3000000000001,Residential,6953,1.0,-1.0
398463,2,695.4000000000001,Residential,6954,1.0,0.0
398469,2,708.0,Residential,7080,1.0,-1.0
398473,3,623.2,Residential,6232,1.0,-1.0
398548,2,671.0,Residential,6710,1.0,0.0
398550,3,731.6,Residential,7316,1.0,-1.0
398552,2,719.5,Residential,7195,1.0,-1.0
398556,2,727.68,Residential,12128,1.0,-2.0
398557,3,709.7,Residential,7097,1.0,-1.0
398558,3,2011.8000000000002,Residential,20118,3.0,3.0
398559,3,574.5,Residential,11490,1.0,-2.0
398563,2,688.4000000000001,Residential,6884,1.0,0.0
398567,2,653.5,Residential,6535,1.0,1.0
398572,3,1059.9,Residential,10599,2.0,1.0
398576,3,673.4000000000001,Residential,6734,1.0,-3.0
398578,3,684.8000000000001,Residential,6848,1.0,-3.0
398591,2,361.6,Residential,3616,1.0,0.0
398594,3,370.70000000000005,Residential,3707,1.0,0.0
398595,3,344.8,Residential,3448,1.0,0.0
398601,3,363.3,Residential,3633,1.0,0.0
398633,3,428.0,Residential,4280,1.0,0.0
398648,2,355.90000000000003,Residential,3559,1.0,0.0
398676,2,3189.2000000000003,Residential,31892,4.0,-27.0
398677,3,4394.400000000001,Residential,54930,5.0,-53.0
398678,3,990.9000000000001,Residential,9909,1.0,-6.0
398680,20,630.8000000000001,Residential,6308,1.0,-3.0
398683,3,734.3000000000001,Residential,7343,1.0,0.0
398685,2,4664.1,Residential,46641,5.0,-38.0
398688,3,1524.3000000000002,Residential,15243,2.0,-6.0
398689,2,696.3000000000001,Residential,6963,1.0,-2.0
398690,20,934.7,Residential,9347,1.0,1.0
398700,24,383.90000000000003,Residential,3839,1.0,0.0
398716,24,2461.9,Residential,24619,3.0,-23.0
398745,2,5133.96,Residential,14261,6.0,-2.0
398760,3,7338.599999999999,Residential,20385,8.0,-18.0
398766,3,2122.56,Residential,5896,3.0,1.0
398782,20,1960.1999999999998,Residential,5445,2.0,1.0
398791,24,3997.44,Residential,11104,4.0,3.0
398792,20,1963.08,Residential,5453,2.0,0.0
398798,3,1907.6399999999999,Residential,5299,2.0,1.0
398827,20,1226.8799999999999,Residential,3408,2.0,1.0
398836,3,1940.04,Residential,5389,2.0,0.0
398872,20,1940.3999999999999,Residential,5390,2.0,1.0
398880,3,5006.5199999999995,Residential,13907,6.0,6.0
398916,20,1073.1599999999999,Residential,2981,2.0,1.0
400829,3,41187.700000000004,Residential,411877,42.0,42.0
400831,24,30761.7,Residential,307617,31.0,-108.0
400899,3,940.3000000000001,Residential,9403,1.0,0.0
401008,24,7539.900000000001,Residential,75399,8.0,-9.0
401053,2,17302.4,Residential,173024,18.0,-4.0
401067,24,800.3000000000001,Residential,8003,1.0,0.0
401078,2,1063.0,Residential,10630,2.0,1.0
401107,20,1295.9,Residential,12959,2.0,1.0
401117,20,1485.4,Residential,14854,2.0,1.0
401383,3,5052.8,Residential,50528,6.0,-8.0
404716,2,25422.300000000003,Residential,254223,26.0,-8.0
404717,3,33638.4,Residential,336384,34.0,33.0
404758,2,790.0,Residential,7900,1.0,0.0
404759,24,713.0,Residential,7130,1.0,0.0
404761,2,1370.7,Residential,13707,2.0,1.0
404768,20,694.6,Residential,6946,1.0,0.0
404773,20,697.8000000000001,Residential,6978,1.0,0.0
404774,20,704.3000000000001,Residential,7043,1.0,0.0
404780,24,1526.4,Residential,15264,2.0,-1.0
404785,24,757.6,Residential,7576,1.0,-1.0
404788,24,900.8000000000001,Residential,9008,1.0,0.0
404789,24,620.8000000000001,Residential,6208,1.0,0.0
411508,20,726.9000000000001,Residential,7269,1.0,0.0
411576,20,547.3000000000001,Residential,5473,1.0,0.0
411578,20,683.0,Residential,6830,1.0,0.0
411582,20,693.7,Residential,6937,1.0,0.0
411669,20,1200.3,Residential,12003,2.0,1.0
411689,24,838.5,Residential,8385,1.0,0.0
411727,2,1081.1000000000001,Residential,10811,2.0,0.0
411729,24,1413.4,Residential,14134,2.0,1.0
411737,3,1420.7,Residential,14207,2.0,1.0
411768,24,688.8000000000001,Residential,6888,1.0,0.0
411775,24,700.9000000000001,Residential,7009,1.0,0.0
411806,20,700.7,Residential,7007,1.0,0.0
411822,24,849.9000000000001,Residential,8499,1.0,0.0
411826,20,650.9000000000001,Residential,6509,1.0,0.0
411847,20,701.2,Residential,7012,1.0,0.0
411848,2,698.8000000000001,Residential,6988,1.0,0.0
